word,true_label,predicted_label,error_type,pos_tag,fgpos_tag,sentence
intends,0,1,False Positive,VERB,VBZ,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
show,1,1,Correct,PROPN,NNP,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
individual,0,0,Correct,ADJ,JJ,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
actions,0,0,Correct,NOUN,NNS,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
separate,0,0,Correct,ADJ,JJ,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
multiplicities,0,0,Correct,NOUN,NNS,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
make,1,1,Correct,VERB,VB,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
human,0,0,Correct,ADJ,JJ,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
history,0,0,Correct,NOUN,NN,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
truth,0,0,Correct,NOUN,NN,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
intelligibility,0,0,Correct,NOUN,NN,"( I , 817 — 18 ) Sartre arrives at what he calls ‘ the real problem of History ’ , that is how there can be totalization without a totalizer , only at the very end of Volume I. It is not until the next volume , however , that he intends to show how individual actions , separate multiplicities , make up ‘ one human history , with one truth and one intelligibility ’ ( I , 69 ) ."
Kant,0,0,Correct,PROPN,NNP,"( Kant , 1930 , pp. 250–1 )"
Locke,0,0,Correct,PROPN,NNP,"( Locke , 1968 , p. 181 )"
Mill,0,0,Correct,NOUN,NN,"( Mill , 1910 , p. 139 )"
telling,0,0,Correct,VERB,VBG,", I 'm only telling you what to expect you know , when you go on holiday"
expect,0,0,Correct,VERB,VB,", I 'm only telling you what to expect you know , when you go on holiday"
know,0,0,Correct,VERB,VB,", I 'm only telling you what to expect you know , when you go on holiday"
go,0,1,False Positive,VERB,VB,", I 'm only telling you what to expect you know , when you go on holiday"
holiday,0,0,Correct,NOUN,NN,", I 'm only telling you what to expect you know , when you go on holiday"
bad,0,0,Correct,ADJ,JJ,", not too bad ."
need,0,0,Correct,VERB,VB,", so we 've been doing a few need a good wash"
good,0,0,Correct,ADJ,JJ,", so we 've been doing a few need a good wash"
wash,0,0,Correct,VERB,VB,", so we 've been doing a few need a good wash"
yeah,0,0,Correct,INTJ,UH,", yeah ."
go,1,1,Correct,VERB,VB,", you can go second hand"
second,0,0,Correct,ADV,RB,", you can go second hand"
hand,0,1,False Positive,NOUN,NN,", you can go second hand"
took,1,0,False Negative,VERB,VBD,", you took three of them did n't you ?"
Kelly,0,0,Correct,PROPN,NNP,"1982 ; Kelly , Whyte and Smail , 1984 ; Whyte in press ) ."
Whyte,0,0,Correct,PROPN,NNP,"1982 ; Kelly , Whyte and Smail , 1984 ; Whyte in press ) ."
Smail,0,0,Correct,NOUN,NN,"1982 ; Kelly , Whyte and Smail , 1984 ; Whyte in press ) ."
Whyte,0,0,Correct,PROPN,NNP,"1982 ; Kelly , Whyte and Smail , 1984 ; Whyte in press ) ."
press,0,0,Correct,NOUN,NN,"1982 ; Kelly , Whyte and Smail , 1984 ; Whyte in press ) ."
GUARDIANWednesday,0,0,Correct,PROPN,NNP,22COMMENT THE GUARDIANWednesday November 8 1989 More than just another disaster .
November,0,0,Correct,PROPN,NNP,22COMMENT THE GUARDIANWednesday November 8 1989 More than just another disaster .
disaster,0,0,Correct,NOUN,NN,22COMMENT THE GUARDIANWednesday November 8 1989 More than just another disaster .
grouse,0,0,Correct,PROPN,NNP,"A 1,500-acre grouse moor will generate enough electricity in this way to power a town of 6,000 people ."
moor,0,0,Correct,PROPN,NNP,"A 1,500-acre grouse moor will generate enough electricity in this way to power a town of 6,000 people ."
generate,0,1,False Positive,VERB,VB,"A 1,500-acre grouse moor will generate enough electricity in this way to power a town of 6,000 people ."
enough,0,0,Correct,ADV,RB,"A 1,500-acre grouse moor will generate enough electricity in this way to power a town of 6,000 people ."
electricity,0,0,Correct,NOUN,NN,"A 1,500-acre grouse moor will generate enough electricity in this way to power a town of 6,000 people ."
way,1,1,Correct,NOUN,NN,"A 1,500-acre grouse moor will generate enough electricity in this way to power a town of 6,000 people ."
power,0,1,False Positive,NOUN,NN,"A 1,500-acre grouse moor will generate enough electricity in this way to power a town of 6,000 people ."
town,0,0,Correct,NOUN,NN,"A 1,500-acre grouse moor will generate enough electricity in this way to power a town of 6,000 people ."
people,0,0,Correct,NOUN,NNS,"A 1,500-acre grouse moor will generate enough electricity in this way to power a town of 6,000 people ."
woman,0,0,Correct,NOUN,NN,A 26-year-old woman accountant who knew nothing about the mechanical side of vehicles asked her more knowledgeable friend to find a car for her .
accountant,0,0,Correct,NOUN,NN,A 26-year-old woman accountant who knew nothing about the mechanical side of vehicles asked her more knowledgeable friend to find a car for her .
knew,0,0,Correct,VERB,VBD,A 26-year-old woman accountant who knew nothing about the mechanical side of vehicles asked her more knowledgeable friend to find a car for her .
nothing,0,0,Correct,PRON,NN,A 26-year-old woman accountant who knew nothing about the mechanical side of vehicles asked her more knowledgeable friend to find a car for her .
mechanical,0,0,Correct,ADJ,JJ,A 26-year-old woman accountant who knew nothing about the mechanical side of vehicles asked her more knowledgeable friend to find a car for her .
side,1,1,Correct,NOUN,NN,A 26-year-old woman accountant who knew nothing about the mechanical side of vehicles asked her more knowledgeable friend to find a car for her .
vehicles,0,0,Correct,NOUN,NNS,A 26-year-old woman accountant who knew nothing about the mechanical side of vehicles asked her more knowledgeable friend to find a car for her .
asked,0,0,Correct,VERB,VBN,A 26-year-old woman accountant who knew nothing about the mechanical side of vehicles asked her more knowledgeable friend to find a car for her .
knowledgeable,0,0,Correct,ADJ,JJ,A 26-year-old woman accountant who knew nothing about the mechanical side of vehicles asked her more knowledgeable friend to find a car for her .
friend,0,0,Correct,NOUN,NN,A 26-year-old woman accountant who knew nothing about the mechanical side of vehicles asked her more knowledgeable friend to find a car for her .
find,0,0,Correct,VERB,VB,A 26-year-old woman accountant who knew nothing about the mechanical side of vehicles asked her more knowledgeable friend to find a car for her .
car,0,0,Correct,NOUN,NN,A 26-year-old woman accountant who knew nothing about the mechanical side of vehicles asked her more knowledgeable friend to find a car for her .
Link,1,1,Correct,VERB,VB,A Model to Link Personality Characteristics to a Preference for Science
Personality,0,0,Correct,NOUN,NN,A Model to Link Personality Characteristics to a Preference for Science
Characteristics,0,0,Correct,NOUN,NNS,A Model to Link Personality Characteristics to a Preference for Science
Preference,0,0,Correct,NOUN,NN,A Model to Link Personality Characteristics to a Preference for Science
Science,0,0,Correct,NOUN,NN,A Model to Link Personality Characteristics to a Preference for Science
boma,0,0,Correct,PROPN,NNP,A boma near Ol Doinyo Lengai .
Ol,0,0,Correct,NOUN,NN,A boma near Ol Doinyo Lengai .
Doinyo,0,0,Correct,PROPN,NNP,A boma near Ol Doinyo Lengai .
Lengai,0,0,Correct,PROPN,NNP,A boma near Ol Doinyo Lengai .
car,0,0,Correct,NOUN,NN,A car pulls up outside .
pulls,0,1,False Positive,VERB,VBZ,A car pulls up outside .
outside,0,0,Correct,ADV,RB,A car pulls up outside .
century,0,0,Correct,NOUN,NN,"A century later , it had an adoptive daughter to weep for : 20-year-old Marie Mancini , niece of Louis XIV 's minister Mazarin ."
later,0,0,Correct,ADV,RB,"A century later , it had an adoptive daughter to weep for : 20-year-old Marie Mancini , niece of Louis XIV 's minister Mazarin ."
adoptive,1,0,False Negative,ADJ,JJ,"A century later , it had an adoptive daughter to weep for : 20-year-old Marie Mancini , niece of Louis XIV 's minister Mazarin ."
daughter,1,0,False Negative,NOUN,NN,"A century later , it had an adoptive daughter to weep for : 20-year-old Marie Mancini , niece of Louis XIV 's minister Mazarin ."
weep,1,0,False Negative,VERB,VB,"A century later , it had an adoptive daughter to weep for : 20-year-old Marie Mancini , niece of Louis XIV 's minister Mazarin ."
Marie,0,0,Correct,PROPN,NNP,"A century later , it had an adoptive daughter to weep for : 20-year-old Marie Mancini , niece of Louis XIV 's minister Mazarin ."
Mancini,0,0,Correct,PROPN,NNP,"A century later , it had an adoptive daughter to weep for : 20-year-old Marie Mancini , niece of Louis XIV 's minister Mazarin ."
niece,0,0,Correct,NOUN,NN,"A century later , it had an adoptive daughter to weep for : 20-year-old Marie Mancini , niece of Louis XIV 's minister Mazarin ."
Louis,0,0,Correct,PROPN,NNP,"A century later , it had an adoptive daughter to weep for : 20-year-old Marie Mancini , niece of Louis XIV 's minister Mazarin ."
XIV,0,0,Correct,PROPN,NNP,"A century later , it had an adoptive daughter to weep for : 20-year-old Marie Mancini , niece of Louis XIV 's minister Mazarin ."
minister,0,0,Correct,PROPN,NNP,"A century later , it had an adoptive daughter to weep for : 20-year-old Marie Mancini , niece of Louis XIV 's minister Mazarin ."
Mazarin,0,0,Correct,PROPN,NNP,"A century later , it had an adoptive daughter to weep for : 20-year-old Marie Mancini , niece of Louis XIV 's minister Mazarin ."
change,0,1,False Positive,NOUN,NN,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
tax,0,0,Correct,NOUN,NN,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
rules,0,1,False Positive,NOUN,NNS,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
affecting,0,0,Correct,VERB,VBG,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
pensions,0,0,Correct,NOUN,NNS,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
shortly,0,0,Correct,ADV,RB,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
followed,1,1,Correct,VERB,VBD,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
job,0,0,Correct,NOUN,NN,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
Department,0,0,Correct,NOUN,NN,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
Environment,0,0,Correct,NOUN,NN,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
Property,0,0,Correct,NOUN,NN,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
Services,0,0,Correct,NOUN,NNS,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
Agency,0,0,Correct,NOUN,NN,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
post,0,1,False Positive,NOUN,NN,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
carries,0,1,False Positive,VERB,VBZ,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
March,0,0,Correct,PROPN,NNP,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
see,1,1,Correct,VERB,VB,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
stay,1,1,Correct,VERB,VB,"A change in the tax rules affecting pensions was shortly followed by a job with the Department of Environment 's Property Services Agency , a post which carries him through to March and may see him stay until he is 70 ."
change,1,1,Correct,NOUN,NN,A change your mind
mind,0,0,Correct,NOUN,NN,A change your mind
child,0,0,Correct,NOUN,NN,"A child greets her , but a young warrior strikes the child with a stick ."
greets,0,1,False Positive,VERB,VBZ,"A child greets her , but a young warrior strikes the child with a stick ."
young,0,0,Correct,ADJ,JJ,"A child greets her , but a young warrior strikes the child with a stick ."
warrior,0,1,False Positive,NOUN,NN,"A child greets her , but a young warrior strikes the child with a stick ."
strikes,0,1,False Positive,NOUN,NNS,"A child greets her , but a young warrior strikes the child with a stick ."
child,0,0,Correct,NOUN,NN,"A child greets her , but a young warrior strikes the child with a stick ."
stick,0,1,False Positive,VERB,VB,"A child greets her , but a young warrior strikes the child with a stick ."
common,0,0,Correct,ADJ,JJ,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
result,0,0,Correct,NOUN,NN,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
philosophers,0,0,Correct,NOUN,NNS,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
deny,0,1,False Positive,VERB,VB,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
autonomy,1,0,False Negative,NOUN,NN,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
women,0,0,Correct,NOUN,NNS,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
sorts,0,0,Correct,NOUN,NNS,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
reason,0,0,Correct,NOUN,NN,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
deny,0,1,False Positive,VERB,VB,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
children,0,0,Correct,NOUN,NNS,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
cite,0,1,False Positive,VERB,VB,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
lack,0,0,Correct,NOUN,NN,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
rationality,0,0,Correct,NOUN,NN,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
capriciousness,0,0,Correct,NOUN,NN,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
vulnerability,0,1,False Positive,NOUN,NN,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
characteristics,0,0,Correct,NOUN,NNS,"A common result of this is that when the philosophers deny autonomy to women , they do so for the same sorts of reason that they deny it to children and cite lack of rationality , capriciousness and vulnerability among their characteristics ."
crisis,1,1,Correct,NOUN,NN,A crisis ; an agenda for reform and honesty .
agenda,1,0,False Negative,NOUN,NN,A crisis ; an agenda for reform and honesty .
reform,0,0,Correct,NOUN,NN,A crisis ; an agenda for reform and honesty .
honesty,0,0,Correct,NOUN,NN,A crisis ; an agenda for reform and honesty .
Africans,0,0,Correct,PROPN,NNPS,"A few Africans , clutching sticks and wearing skins , watch the plane as it turns , pauses , and then accelerates , leaving a cloud of dust ."
clutching,0,0,Correct,VERB,VBG,"A few Africans , clutching sticks and wearing skins , watch the plane as it turns , pauses , and then accelerates , leaving a cloud of dust ."
sticks,0,1,False Positive,NOUN,NNS,"A few Africans , clutching sticks and wearing skins , watch the plane as it turns , pauses , and then accelerates , leaving a cloud of dust ."
wearing,0,0,Correct,VERB,VBG,"A few Africans , clutching sticks and wearing skins , watch the plane as it turns , pauses , and then accelerates , leaving a cloud of dust ."
skins,0,0,Correct,NOUN,NNS,"A few Africans , clutching sticks and wearing skins , watch the plane as it turns , pauses , and then accelerates , leaving a cloud of dust ."
watch,0,0,Correct,VERB,VB,"A few Africans , clutching sticks and wearing skins , watch the plane as it turns , pauses , and then accelerates , leaving a cloud of dust ."
plane,0,0,Correct,NOUN,NN,"A few Africans , clutching sticks and wearing skins , watch the plane as it turns , pauses , and then accelerates , leaving a cloud of dust ."
turns,1,1,Correct,VERB,VBZ,"A few Africans , clutching sticks and wearing skins , watch the plane as it turns , pauses , and then accelerates , leaving a cloud of dust ."
pauses,1,0,False Negative,VERB,VBZ,"A few Africans , clutching sticks and wearing skins , watch the plane as it turns , pauses , and then accelerates , leaving a cloud of dust ."
accelerates,0,0,Correct,VERB,VBZ,"A few Africans , clutching sticks and wearing skins , watch the plane as it turns , pauses , and then accelerates , leaving a cloud of dust ."
leaving,1,1,Correct,VERB,VBG,"A few Africans , clutching sticks and wearing skins , watch the plane as it turns , pauses , and then accelerates , leaving a cloud of dust ."
cloud,1,1,Correct,PROPN,NNP,"A few Africans , clutching sticks and wearing skins , watch the plane as it turns , pauses , and then accelerates , leaving a cloud of dust ."
dust,0,1,False Positive,NOUN,NN,"A few Africans , clutching sticks and wearing skins , watch the plane as it turns , pauses , and then accelerates , leaving a cloud of dust ."
fountain,1,1,Correct,NOUN,NN,"A fountain of blood at first pours from his chest , but soon subsides become a steady trickle ."
blood,0,0,Correct,NOUN,NN,"A fountain of blood at first pours from his chest , but soon subsides become a steady trickle ."
first,0,0,Correct,ADV,RB,"A fountain of blood at first pours from his chest , but soon subsides become a steady trickle ."
pours,0,1,False Positive,VERB,VBZ,"A fountain of blood at first pours from his chest , but soon subsides become a steady trickle ."
chest,0,0,Correct,PROPN,NNP,"A fountain of blood at first pours from his chest , but soon subsides become a steady trickle ."
soon,0,0,Correct,ADV,RB,"A fountain of blood at first pours from his chest , but soon subsides become a steady trickle ."
subsides,1,1,Correct,VERB,VBZ,"A fountain of blood at first pours from his chest , but soon subsides become a steady trickle ."
become,0,0,Correct,VERB,VB,"A fountain of blood at first pours from his chest , but soon subsides become a steady trickle ."
steady,1,1,Correct,ADJ,JJ,"A fountain of blood at first pours from his chest , but soon subsides become a steady trickle ."
trickle,0,1,False Positive,NOUN,NN,"A fountain of blood at first pours from his chest , but soon subsides become a steady trickle ."
possibility,0,0,Correct,NOUN,NN,"A further possibility is that the individual may , at least for a time , hold onto beliefs and values taken without question from others , for example parents , teachers , peers ."
individual,0,0,Correct,ADJ,JJ,"A further possibility is that the individual may , at least for a time , hold onto beliefs and values taken without question from others , for example parents , teachers , peers ."
least,0,0,Correct,ADJ,JJS,"A further possibility is that the individual may , at least for a time , hold onto beliefs and values taken without question from others , for example parents , teachers , peers ."
time,0,0,Correct,NOUN,NN,"A further possibility is that the individual may , at least for a time , hold onto beliefs and values taken without question from others , for example parents , teachers , peers ."
hold,1,1,Correct,VERB,VB,"A further possibility is that the individual may , at least for a time , hold onto beliefs and values taken without question from others , for example parents , teachers , peers ."
beliefs,0,0,Correct,NOUN,NNS,"A further possibility is that the individual may , at least for a time , hold onto beliefs and values taken without question from others , for example parents , teachers , peers ."
values,1,1,Correct,NOUN,NNS,"A further possibility is that the individual may , at least for a time , hold onto beliefs and values taken without question from others , for example parents , teachers , peers ."
taken,1,1,Correct,VERB,VBN,"A further possibility is that the individual may , at least for a time , hold onto beliefs and values taken without question from others , for example parents , teachers , peers ."
question,0,0,Correct,NOUN,NN,"A further possibility is that the individual may , at least for a time , hold onto beliefs and values taken without question from others , for example parents , teachers , peers ."
others,0,0,Correct,NOUN,NNS,"A further possibility is that the individual may , at least for a time , hold onto beliefs and values taken without question from others , for example parents , teachers , peers ."
example,0,0,Correct,NOUN,NN,"A further possibility is that the individual may , at least for a time , hold onto beliefs and values taken without question from others , for example parents , teachers , peers ."
